"iso3c","year","cpi","cpi2","cpi_i","cpi_ii"
"AFG",1987,NA,NA,44.1779220815015,44.1779220815015
"AFG",1988,NA,NA,42.8848484882715,42.8848484882715
"AFG",1989,NA,NA,41.5917748950419,41.5917748950419
"AFG",1990,NA,NA,40.2987013018123,40.2987013018123
"AFG",1991,NA,NA,39.0056277085823,39.0056277085823
"AFG",1992,NA,NA,37.7125541153528,37.7125541153528
"AFG",1993,NA,NA,36.4194805221227,36.4194805221227
"AFG",1994,NA,NA,35.1264069288932,35.1264069288932
"AFG",1995,NA,NA,33.8333333356636,33.8333333356636
"AFG",1996,NA,NA,32.5402597424336,32.5402597424336
"AFG",1997,NA,NA,31.247186149204,31.247186149204
"AFG",1998,NA,NA,29.954112555974,29.954112555974
"AFG",1999,NA,NA,28.6610389627444,28.6610389627444
"AFG",2000,NA,NA,27.3679653695149,27.3679653695149
"AFG",2001,NA,NA,26.0748917762849,26.0748917762849
"AFG",2002,NA,NA,24.7818181830553,24.7818181830553
"AFG",2003,NA,NA,23.4887445898257,23.4887445898257
"AFG",2004,NA,NA,22.1956709965957,22.1956709965957
"AFG",2005,25,25,20.9025974033661,25
"AFG",2006,NA,NA,19.6095238101361,19.6095238101361
"AFG",2007,18,18,18.3164502169066,18
"AFG",2008,15,15,17.023376623677,15
"AFG",2009,13,13,15.730303030447,13
"AFG",2010,14,14,14.4372294372174,14
"AFG",2011,15.2,15.2,13.1441558439874,15.2
"AFG",2012,8,8,11.8510822507578,8
"AFG",2013,8,8,10.5580086575283,8
"AFG",2014,12,12,9.26493506429824,12
"AFG",2015,11,11,7.97186147106868,11
"AGO",1987,NA,NA,17.7150090413406,17.7150090413406
"AGO",1988,NA,NA,17.7990054247161,17.7990054247161
"AGO",1989,NA,NA,17.8830018080921,17.8830018080921
"AGO",1990,NA,NA,17.9669981914685,17.9669981914685
"AGO",1991,NA,NA,18.050994574844,18.050994574844
"AGO",1992,NA,NA,18.13499095822,18.13499095822
"AGO",1993,NA,NA,18.2189873415955,18.2189873415955
"AGO",1994,NA,NA,18.3029837249719,18.3029837249719
"AGO",1995,NA,NA,18.3869801083479,18.3869801083479
"AGO",1996,NA,NA,18.4709764917234,18.4709764917234
"AGO",1997,NA,NA,18.5549728750993,18.5549728750993
"AGO",1998,NA,NA,18.6389692584748,18.6389692584748
"AGO",1999,NA,NA,18.7229656418513,18.7229656418513
"AGO",2000,17,17,18.8069620252272,17
"AGO",2001,NA,NA,18.8909584086027,18.8909584086027
"AGO",2002,17,17,18.9749547919787,17
"AGO",2003,18,18,19.0589511753551,18
"AGO",2004,20,20,19.1429475587306,20
"AGO",2005,20,20,19.2269439421066,20
"AGO",2006,22,22,19.3109403254821,22
"AGO",2007,22,22,19.3949367088585,22
"AGO",2008,19,19,19.4789330922345,19
"AGO",2009,19,19,19.56292947561,19
"AGO",2010,19,19,19.6469258589859,19
"AGO",2011,20.1,20.1,19.7309222423614,20.1
"AGO",2012,22,22,19.8149186257378,22
"AGO",2013,23,23,19.8989150091138,23
"AGO",2014,19,19,19.9829113924893,19
"AGO",2015,15,15,20.0669077758653,15
"ALB",1987,NA,NA,12.558917878574,12.558917878574
"ALB",1988,NA,NA,13.3612061591575,13.3612061591575
"ALB",1989,NA,NA,14.163494439741,14.163494439741
"ALB",1990,NA,NA,14.9657827203246,14.9657827203246
"ALB",1991,NA,NA,15.7680710009081,15.7680710009081
"ALB",1992,NA,NA,16.5703592814916,16.5703592814916
"ALB",1993,NA,NA,17.3726475620742,17.3726475620742
"ALB",1994,NA,NA,18.1749358426578,18.1749358426578
"ALB",1995,NA,NA,18.9772241232422,18.9772241232422
"ALB",1996,NA,NA,19.7795124038257,19.7795124038257
"ALB",1997,NA,NA,20.5818006844092,20.5818006844092
"ALB",1998,NA,NA,21.3840889649937,21.3840889649937
"ALB",1999,23,23,22.1863772455772,23
"ALB",2000,NA,NA,22.9886655261607,22.9886655261607
"ALB",2001,NA,NA,23.7909538067433,23.7909538067433
"ALB",2002,25,25,24.5932420873278,25
"ALB",2003,25,25,25.3955303679113,25
"ALB",2004,25,25,26.1978186484939,25
"ALB",2005,24,24,27.0001069290774,24
"ALB",2006,26,26,27.8023952096619,26
"ALB",2007,29,29,28.6046834902454,29
"ALB",2008,34,34,29.4069717708289,34
"ALB",2009,32,32,30.2092600514125,32
"ALB",2010,33,33,31.0115483319969,33
"ALB",2011,30.5,30.5,31.8138366125795,30.5
"ALB",2012,33,33,32.616124893163,33
"ALB",2013,31,31,33.4184131737475,31
"ALB",2014,33,33,34.2207014543301,33
"ALB",2015,36,36,35.0229897349136,36
"ARE",1987,NA,NA,36.3076923089366,36.3076923089366
"ARE",1988,NA,NA,37.5461538473537,37.5461538473537
"ARE",1989,NA,NA,38.7846153857727,38.7846153857727
"ARE",1990,NA,NA,40.0230769241907,40.0230769241907
"ARE",1991,NA,NA,41.2615384626088,41.2615384626088
"ARE",1992,NA,NA,42.5000000010277,42.5000000010277
"ARE",1993,NA,NA,43.7384615394458,43.7384615394458
"ARE",1994,NA,NA,44.9769230778647,44.9769230778647
"ARE",1995,NA,NA,46.2153846162828,46.2153846162828
"ARE",1996,NA,NA,47.4538461547008,47.4538461547008
"ARE",1997,NA,NA,48.6923076931189,48.6923076931189
"ARE",1998,NA,NA,49.930769231536,49.930769231536
"ARE",1999,NA,NA,51.169230769955,51.169230769955
"ARE",2000,NA,NA,52.407692308373,52.407692308373
"ARE",2001,NA,NA,53.646153846792,53.646153846792
"ARE",2002,NA,NA,54.8846153852101,54.8846153852101
"ARE",2003,52,52,56.123076923629,52
"ARE",2004,61,61,57.3615384620471,61
"ARE",2005,62,62,58.6000000004651,62
"ARE",2006,62,62,59.8384615388832,62
"ARE",2007,57,57,61.0769230773012,57
"ARE",2008,59,59,62.3153846157202,59
"ARE",2009,65,65,63.5538461541373,65
